Total Number of Aligned Reads:	810	Total Number of Mapped Genomes:	1229
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|398578|BACT_462|gi|160895450|ref|NC_010002.1|	0.3708333963658632	0.11481481481481481	93.0	0.11481481481481481	0.0	0.36226492913143166	0.11255144032921811	91.16666666666667	0.11234567901234568	0.0012345679012345679
ti|469621|BACT_1399|gi|294782037|ref|NZ_GG770381.1|	0.05157084633882957	0.05432098765432099	44.0	0.05432098765432099	0.0	0.05155525050872455	0.05185185185185185	42.0	0.05185185185185185	0.0
ti|553174|BACT_894|gi|302346166|ref|NC_014371.1|	0.03630058973975846	0.043209876543209874	35.0	0.043209876543209874	0.0	0.030073440904570717	0.030246913580246913	24.5	0.03333333333333333	0.0012345679012345679
ti|190304|BACT_566|gi|19703352|ref|NC_003454.1|	0.03334245100720356	0.03209876543209877	26.0	0.03209876543209877	0.0	0.015930192313328147	0.009670781893004115	7.833333333333333	0.006172839506172839	0.011111111111111112
ti|469621|BACT_1399|gi|294781821|ref|NZ_GG770375.1|	0.03240667619740388	0.016049382716049384	13.0	0.016049382716049384	0.0	0.03240663011251973	0.016049382716049384	13.0	0.016049382716049384	0.0
ti|680646|BACT_1624|gi|283457089|ref|NC_013715.1|	0.031213461318288067	0.0345679012345679	28.0	0.0345679012345679	0.0	0.02522199108420314	0.02345679012345679	19.0	0.024691358024691357	0.0012345679012345679
ti|563008|BACT_1458|gi|299142931|ref|NZ_GL349576.1|	0.030665866988242287	0.003703703703703704	3.0	0.003703703703703704	0.0	0.02332404963597099	0.002777777777777778	2.25	0.0024691358024691358	0.0012345679012345679
ti|553174|BACT_894|gi|302344773|ref|NC_014370.1|	0.030048428953016435	0.02962962962962963	24.0	0.02962962962962963	0.0	0.02294455114064075	0.017901234567901235	14.5	0.020987654320987655	0.0
ti|469621|BACT_1399|gi|294782986|ref|NZ_GG770383.1|	0.0290677218105345	0.05802469135802469	47.0	0.05802469135802469	0.0	0.028999449506164475	0.05493827160493827	44.5	0.05432098765432099	0.0012345679012345679
ti|525381|BACT_1114|gi|298501502|ref|NC_014251.1|	0.0249564317948147	0.027160493827160494	22.0	0.027160493827160494	0.0	0.0015999341286609121	0.0029774759085103913	2.411755485893417	0.0	0.014814814814814815
ti|546268|BACT_810|gi|260590250|ref|NZ_ACEO02000001.1|	0.017422315859528203	0.04567901234567901	37.0	0.04567901234567901	0.0	0.013952265226527217	0.02231718898385565	18.076923076923077	0.019753086419753086	0.006172839506172839
ti|243275|BACT_1203|gi|42516522|ref|NC_002967.9|	0.015035196430195033	0.013580246913580247	11.0	0.013580246913580247	0.0	0.015035196430195033	0.013580246913580247	11.0	0.013580246913580247	0.0
ti|553178|BACT_325|gi|228472088|ref|NZ_ACLQ01000010.1|	0.01220799417673097	0.006172839506172839	5.0	0.006172839506172839	0.0	0.01220799417673097	0.006172839506172839	5.0	0.006172839506172839	0.0
ti|862515|BACT_3080|gi|306396691|gb|GL397214.1|	0.01213246210330776	0.007407407407407408	6.0	0.007407407407407408	0.0	0.004315741479699753	0.004732510288065843	3.8333333333333335	0.003703703703703704	0.0024691358024691358
ti|391612|BACT_449|gi|126661648|ref|NZ_AAXW01000149.1|	0.011850652574291949	0.0049382716049382715	4.0	0.0049382716049382715	0.0	0.011850652574291949	0.0049382716049382715	4.0	0.0049382716049382715	0.0
ti|640131|BACT_1593|gi|288932888|ref|NC_013850.1|	0.010921850566879882	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.005552930794064258	0.0012345679012345679	1.0	0.0012345679012345679	0.0012345679012345679
ti|546268|BACT_810|gi|260590256|ref|NZ_ACEO02000007.1|	0.01077289107253075	0.003703703703703704	3.0	0.003703703703703704	0.0	0.0017104948441993774	0.0013580246913580249	1.1	0.0012345679012345679	0.0012345679012345679
ti|596320|BACT_804|gi|241759216|ref|NZ_ACQV01000016.1|	0.010575946511406033	0.009876543209876543	8.0	0.009876543209876543	0.0	0.010316963941100479	0.004320987654320987	3.5	0.003703703703703704	0.0012345679012345679
ti|573235|BACT_4035|gi|257751862|dbj|AP010953.1|	0.010510025774666299	0.0012345679012345679	1.0	0.0	0.0024691358024691358	0.0018562064386977845	0.0002356902356902357	0.19090909090909092	0.0	0.0024691358024691358
ti|409438|BACT_530|gi|209917191|ref|NC_011415.1|	0.010510025774666299	0.0012345679012345679	1.0	0.0	0.0024691358024691358	0.0018562064386977845	0.0002356902356902357	0.19090909090909092	0.0	0.0024691358024691358
ti|467705|BACT_1111|gi|157149651|ref|NC_009785.1|	0.01037413762119634	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.010364590438947743	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|563008|BACT_1458|gi|299141946|ref|NZ_GL349568.1|	0.010373589262393672	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.010366356371276392	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|553178|BACT_325|gi|228472841|ref|NZ_ACLQ01000019.1|	0.010367031654562089	0.003703703703703704	3.0	0.003703703703703704	0.0	0.010367031654562089	0.003703703703703704	3.0	0.003703703703703704	0.0
ti|553175|BACT_889|gi|229495176|ref|NZ_ACNN01000005.1|	0.010366447657748863	0.003703703703703704	3.0	0.003703703703703704	0.0	0.010366447657748863	0.003703703703703704	3.0	0.003703703703703704	0.0
ti|596322|BACT_1116|gi|228476436|ref|NZ_ACLO01000010.1|	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|563008|BACT_1458|gi|299142606|ref|NZ_GL349572.1|	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|553219|BACT_297|gi|255323130|ref|NZ_ACVQ01000028.1|	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|553184|BACT_90|gi|221195595|ref|NZ_ACFE01000004.1|	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|360104|BACT_286|gi|157149612|ref|NC_009796.1|	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.010366308867630859	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|563008|BACT_1458|gi|299142993|ref|NZ_GL349578.1|	0.010366274194609525	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.00943043151650595	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|272843|BACT_858|gi|15601865|ref|NC_002663.1|	0.010365485147947849	0.003703703703703704	3.0	0.003703703703703704	0.0	0.008796194505687171	0.0012478428249037567	1.010752688172043	0.0012345679012345679	0.0012345679012345679
ti|365659|BACT_1638|gi|289166909|ref|NC_013853.1|	0.0090335485877646	0.03209876543209877	26.0	0.03209876543209877	0.0	0.007156943923887444	0.028065843621399175	22.73333333333333	0.022222222222222223	0.011111111111111112
ti|553201|BACT_1016|gi|255326394|ref|NZ_ACVO01000009.1|	0.007268810122287526	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.009430517884637347	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|546264|BACT_803|gi|223045371|ref|NZ_ACEN01000070.1|	0.0051011983462280475	0.003703703703703704	3.0	0.003703703703703704	0.0	0.003216177594612765	0.001851851851851852	1.5	0.0012345679012345679	0.0012345679012345679
ti|749547|BACT_1376|gi|300932423|ref|NZ_GG772480.1|	0.005039177024211242	0.0006172839506172839	0.5	0.0	0.0012345679012345679	0.003790302751935931	0.0006172839506172839	0.5	0.0	0.0012345679012345679
ti|749540|BACT_1372|gi|301680460|ref|NZ_GG772138.1|	0.005039177024211242	0.0006172839506172839	0.5	0.0	0.0012345679012345679	0.003790302751935931	0.0006172839506172839	0.5	0.0	0.0012345679012345679
ti|553201|BACT_1016|gi|255326628|ref|NZ_ACVO01000015.1|	0.003596502852116059	0.0049382716049382715	4.0	0.0049382716049382715	0.0	0.006177372826646138	0.005555555555555556	4.5	0.006172839506172839	0.0
ti|546264|BACT_803|gi|223045407|ref|NZ_ACEN01000106.1|	0.003378953099709821	0.003703703703703704	3.0	0.003703703703703704	0.0	0.003482269118894516	0.003703703703703704	3.0	0.003703703703703704	0.0
ti|546268|BACT_810|gi|260590262|ref|NZ_ACEO02000013.1|	0.003061248432133831	0.007407407407407408	6.0	0.007407407407407408	0.0	0.0019924249414690286	0.0049382716049382715	4.0	0.0049382716049382715	0.0
ti|553175|BACT_889|gi|229495477|ref|NZ_ACNN01000007.1|	0.0025817483614408838	0.007407407407407408	6.0	0.007407407407407408	0.0	0.0025817483614408838	0.007407407407407408	6.0	0.007407407407407408	0.0
ti|469621|BACT_1399|gi|294783796|ref|NZ_GG770385.1|	0.0020107473134475602	0.011111111111111112	9.0	0.011111111111111112	0.0	0.0020472997058790052	0.011111111111111112	9.0	0.011111111111111112	0.0
ti|399795|BACT_422|gi|221064663|ref|NZ_AAUJ02000001.1|	0.0016562881083257023	0.0012345679012345679	1.0	0.0	0.0012345679012345679	0.0020625121127933405	0.00031799476243920687	0.25757575757575757	0.0	0.0024691358024691358
ti|232721|BACT_18|gi|121592436|ref|NC_008782.1|	0.0016562814909384198	0.0	0.0	0.0	0.0	0.0020625075921366777	0.00031799476243920687	0.25757575757575757	0.0	0.0024691358024691358
ti|585054|BACT_532|gi|218547440|ref|NC_011740.1|	0.0015041630256757517	0.0012345679012345679	1.0	0.0	0.0012345679012345679	0.0014211152158770876	0.00017636684303350968	0.14285714285714285	0.0	0.0012345679012345679
ti|393480|BACT_565|gi|110294837|gb|AARG01000011.1|	0.0014835275516257088	0.003703703703703704	3.0	0.003703703703703704	0.0	0.0014832456417589522	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|546268|BACT_810|gi|260590258|ref|NZ_ACEO02000009.1|	0.0014834681984369129	0.008641975308641974	7.0	0.008641975308641974	0.0	0.0014317041876368917	0.007407407407407408	6.0	0.007407407407407408	0.0
ti|749550|BACT_1379|gi|301014620|ref|NZ_GG773744.1|	0.001477111141014016	0.0	0.0	0.0	0.0	0.0014204767886337765	0.00017636684303350968	0.14285714285714285	0.0	0.0012345679012345679
ti|749544|BACT_1373|gi|300963827|ref|NZ_GG773698.1|	0.001477111141014016	0.0	0.0	0.0	0.0	0.0014204767886337765	0.00017636684303350968	0.14285714285714285	0.0	0.0012345679012345679
ti|749538|BACT_1369|gi|300952747|ref|NZ_GG773366.1|	0.001477111141014016	0.0	0.0	0.0	0.0	0.0014204767886337765	0.00017636684303350968	0.14285714285714285	0.0	0.0012345679012345679
ti|749532|BACT_1383|gi|301333839|ref|NZ_GG773328.1|	0.001477111141014016	0.0	0.0	0.0	0.0	0.0014204767886337765	0.00017636684303350968	0.14285714285714285	0.0	0.0012345679012345679
ti|679207|BACT_1367|gi|300818444|ref|NZ_ADWV01000017.1|	0.001477111141014016	0.0	0.0	0.0	0.0	0.0014204767886337765	0.00017636684303350968	0.14285714285714285	0.0	0.0012345679012345679
ti|585054|BACT_532|gi|218561636|ref|NC_011743.1|	0.001477111141014016	0.0	0.0	0.0	0.0	0.0014204767886337765	0.00017636684303350968	0.14285714285714285	0.0	0.0012345679012345679
ti|469606|BACT_573|gi|224461550|gb|ACDE01000003.1|	0.0013844199342191164	0.0006172839506172839	0.5	0.0	0.0012345679012345679	0.0013843273327791522	0.0006172839506172839	0.5	0.0	0.0012345679012345679
ti|209882|BACT_567|gi|34763691|ref|NZ_AABF02000085.1|	0.0013844199342191164	0.0006172839506172839	0.5	0.0	0.0012345679012345679	0.0013843273327791522	0.0006172839506172839	0.5	0.0	0.0012345679012345679
ti|575612|BACT_1457|gi|288801553|ref|NZ_GG740010.1|	0.0013367449413403186	0.003703703703703704	3.0	0.003703703703703704	0.0	0.005257217052371765	0.007716049382716049	6.25	0.008641975308641974	0.0012345679012345679
ti|469606|BACT_573|gi|224461536|gb|ACDE01000017.1|	0.0012738858309251887	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.0011912239032150754	0.0030864197530864196	2.5	0.0024691358024691358	0.0012345679012345679
ti|469621|BACT_1399|gi|294783795|ref|NZ_GG770384.1|	0.0010585322205151494	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0024672758174814546	0.001440329218106996	1.1666666666666667	0.0012345679012345679	0.0012345679012345679
ti|546268|BACT_810|gi|260590251|ref|NZ_ACEO02000002.1|	0.0010434038910498542	0.006172839506172839	5.0	0.006172839506172839	0.0	0.0009351714628704189	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|563032|BACT_1478|gi|300741209|ref|NZ_GL379574.1|	0.0010301336381485502	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.0010301336381485502	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|553175|BACT_889|gi|229495939|ref|NZ_ACNN01000016.1|	0.0010287542618201387	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.0010287542618201387	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|679189|BACT_1461|gi|282879928|ref|NZ_ADEF01000011.1|	0.0010287351032278109	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0010287349676793836	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|563008|BACT_1458|gi|299142869|ref|NZ_GL349575.1|	0.0010287351032252224	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0010287351032251398	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|553175|BACT_889|gi|229496477|ref|NZ_ACNN01000026.1|	0.0010287351032251101	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0010287351032251101	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|546262|BACT_802|gi|259414710|ref|NZ_ACDY02000013.1|	0.0009972331085910699	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0008712480907928616	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|209882|BACT_567|gi|34762730|ref|NZ_AABF02000020.1|	0.0008594135746140441	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0010199791753967924	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|360104|BACT_286|gi|157163852|ref|NC_009802.1|	0.0008512470132307912	0.011111111111111112	9.0	0.011111111111111112	0.0	0.0008512470132307912	0.011111111111111112	9.0	0.011111111111111112	0.0
ti|655813|BACT_1513|gi|293366019|ref|NZ_GG749269.1|	0.0007871733325476341	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0009044405903040608	0.0023662551440329217	1.9166666666666665	0.0012345679012345679	0.003703703703703704
ti|546264|BACT_803|gi|223045317|ref|NZ_ACEN01000016.1|	0.0007514168101688384	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.0007411356085340516	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|553218|BACT_296|gi|223040611|ref|NZ_ACFU01000025.1|	0.000739657447757286	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.0007396234519824935	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|749547|BACT_1376|gi|300934704|ref|NZ_GG772500.1|	0.0007395576728763113	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0007357142233054526	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|553177|BACT_327|gi|213964366|ref|NZ_ABZV01000051.1|	0.0007395132125233908	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.0006902132670208888	0.0012345679012345679	1.0	0.0012345679012345679	0.0
ti|393480|BACT_565|gi|110294839|gb|AARG01000009.1|	0.000726567314847622	0.0024691358024691358	2.0	0.0024691358024691358	0.0	0.0007425755407871426	0.0024691358024691358	2.0	0.0024691358024691358	0.0
ti|546268|BACT_810|gi|260590257|ref|NZ_ACEO02000008.1|	0.0006711323629219275	0.003703703703703704	3.0	0.003703703703703704	0.0	0.0010744923239329495	0.004320987654320987	3.5	0.003703703703703704	0.0012345679012345679
ti|575612|BACT_1457|gi|288803075|ref|NZ_GG740017.1|	0.0006702233196526075	0.0012345679012345679	1.0	0.0012345679012345679	0.0	0.005915499827132876	0.001851851851851852	1.5	0.0024691358024691358	0.0
